source_country,year,total_student_count,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
China,1998,4132,1241935000,0,0,0,0,800.0,1.03E12,8.278958333,5.950950146
China,1999,4578,1252735000,0,0,0,0,860.0,1.09E12,8.27825,6.456950188
China,2000,5008,1262645000,0,0,0,4,940.0,1.21E12,8.278504167,7.620930195
China,2001,11175,1271850000,0,0,0,5,1010.0,1.34E12,8.277068333,9.767589569
China,2002,17343,1280400000,0,0,0,8,1110.0,1.47E12,8.2769575,12.50685978
China,2003,23448,1288400000,0,0,0,12,1280.0,1.66E12,8.277036667,15.24153042
China,2004,28309,1296075000,0,0,1,16,1510.0,1.96E12,8.276800833,17.44008064
China,2005,37344,1303720000,0,0,2,18,1760.0,2.29E12,8.194316667,18.84936905
China,2006,42008,1311020000,0,0,3,19,2060.0,2.75E12,7.973438333,20.04450035
China,2007,50418,1317885000,0,0,2,25,2510.0,3.55E12,7.6075325,20.46084023
China,2008,57596,1324655000,0,0,1,30,3100.0,4.59E12,6.948655,20.67279053
China,2009,70357,1331260000,0,0,1,30,3680.0,5.1E12,6.831416052,22.39872932
China,2010,87588,1337705000,0,0,4,34,4340.0,6.09E12,6.770269029,24.05031013
China,2011,90175,1344130000,0,0,3,35,5050.0,7.55E12,6.461461327,25.29210091
China,2012,87497,1350695000,0,0,7,42,5930.0,8.53E12,6.312332827,28.03519058
China,2013,87980,1357380000,0,0,7,42,6770.0,9.57E12,6.195758346,31.45985985
China,2014,90245,1364270000,0,0,9,44,7500.0,1.04E13,6.143434094,41.27772903
China,2015,97387,1371220000,0,0,10,44,7910.0,1.1E13,6.227488673,45.35071945
China,2016,112329,1378665000,0,2,12,54,8210.0,1.11E13,6.644477829,48.44105148
India,1998,3613,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
India,1999,3697,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
India,2000,4578,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
India,2001,14117,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
India,2002,9539,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
India,2003,12384,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
India,2004,15742,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
India,2005,20515,1147609927,0,0,0,3,710.0,8.2E11,44.099975,10.73248005
India,2006,22357,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
India,2007,24523,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
India,2008,26520,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
India,2009,26573,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
India,2010,20429,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
India,2011,14091,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
India,2012,11684,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
India,2013,16150,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
India,2014,25562,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
India,2015,36892,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
India,2016,46316,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
Indonesia,1998,7721,205724592,0,0,0,0,660.0,9.5445547873E10,10013.6225,13.3598299
Indonesia,1999,8976,208615169,0,0,0,0,570.0,1.4E11,7855.15,14.74952984
Indonesia,2000,9934,211513823,0,0,0,0,580.0,1.65E11,8421.775,14.87963009
Indonesia,2001,11790,214427417,0,0,0,0,720.0,1.6E11,10260.85,14.18719959
Indonesia,2002,13658,217357793,0,0,0,0,790.0,1.96E11,9311.191667,14.80883026
Indonesia,2003,13260,220309469,0,0,0,0,900.0,2.35E11,8577.133333,16.02532959
Indonesia,2004,10184,223285676,0,0,0,0,1080.0,2.57E11,8938.85,16.6164608
Indonesia,2005,9293,226289470,0,0,0,0,1220.0,2.86E11,9704.741667,17.25584984
Indonesia,2006,9054,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
Indonesia,2007,10536,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
Indonesia,2008,10242,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
Indonesia,2009,10205,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
Indonesia,2010,10135,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
Indonesia,2011,9702,245116206,0,0,0,0,3010.0,8.93E11,8770.433333,24.77696991
Indonesia,2012,9431,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
Indonesia,2013,9453,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
Indonesia,2014,9499,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
Indonesia,2015,10168,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
Indonesia,2016,10676,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
Malaysia,1998,16118,22114654,0,0,0,0,3640.0,7.2167753771E10,3.924375,21.65023041
Malaysia,1999,16482,22661298,0,0,0,0,3380.0,7.9148947368E10,3.8,22.62635994
Malaysia,2000,12869,23194257,0,0,0,0,3460.0,9.3789736842E10,3.8,25.63142967
Malaysia,2001,15200,23709119,0,0,0,0,3550.0,9.2783947368E10,3.8,25.02013016
Malaysia,2002,17574,24208391,0,0,0,0,3790.0,1.01E11,3.8,27.47040939
Malaysia,2003,19431,24698819,0,0,0,0,4160.0,1.1E11,3.8,30.63686943
Malaysia,2004,16094,25190652,0,0,0,0,4740.0,1.25E11,3.8,30.0687294
Malaysia,2005,15552,25690611,0,0,0,0,5270.0,1.44E11,3.787091667,27.96216011
Malaysia,2006,15358,26201961,0,0,0,0,5840.0,1.63E11,3.668176958,28.51358032
Malaysia,2007,17691,26720370,0,0,0,0,6630.0,1.94E11,3.437569382,30.1826992
Malaysia,2008,18576,27236006,0,0,0,0,7510.0,2.31E11,3.335833333,33.69655991
Malaysia,2009,19970,27735040,0,0,0,1,7600.0,2.02E11,3.524502911,35.79298019
Malaysia,2010,19578,28208035,0,0,0,1,8260.0,2.55E11,3.221086915,37.31967926
Malaysia,2011,18312,28650955,0,0,0,1,9050.0,2.98E11,3.060003011,35.7051506
Malaysia,2012,17001,29068159,0,0,0,1,10180.0,3.14E11,3.088800867,36.32756042
Malaysia,2013,15546,29468872,0,0,0,1,10840.0,3.23E11,3.15090855,36.97964859
Malaysia,2014,15357,29866559,0,0,0,2,11140.0,3.38E11,3.272859746,36.8667717
Malaysia,2015,14967,30270962,0,0,0,2,10610.0,2.97E11,3.905500263,42.37377167
Malaysia,2016,15319,30684804,0,0,0,3,10030.0,2.97E11,4.148300663,44.11669159
