source_country,year,UOM_count,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
China,2007,1195,1317885000,0,0,2,25,2510.0,3.55E12,7.6075325,20.46084023
China,2008,1207,1324655000,0,0,1,30,3100.0,4.59E12,6.948655,20.67279053
China,2009,1212,1331260000,0,0,1,30,3680.0,5.1E12,6.831416052,22.39872932
China,2010,1296,1337705000,0,0,4,34,4340.0,6.09E12,6.770269029,24.05031013
China,2011,1345,1344130000,0,0,3,35,5050.0,7.55E12,6.461461327,25.29210091
China,2012,1738,1350695000,0,0,7,42,5930.0,8.53E12,6.312332827,28.03519058
China,2013,2291,1357380000,0,0,7,42,6770.0,9.57E12,6.195758346,31.45985985
China,2014,3000,1364270000,0,0,9,44,7500.0,1.04E13,6.143434094,41.27772903
China,2015,3750,1371220000,0,0,10,44,7910.0,1.1E13,6.227488673,45.35071945
China,2016,4659,1378665000,0,2,12,54,8210.0,1.11E13,6.644477829,48.44105148
China,2017,5316,1386395000,0,2,13,57,8630.0,1.21E13,6.758755086,51.00674057
India,2007,209,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
India,2008,167,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
India,2009,140,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
India,2010,80,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
India,2011,82,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
India,2012,154,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
India,2013,174,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
India,2014,259,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
India,2015,289,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
India,2016,318,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
India,2017,495,1338658835,0,0,0,1,1830.0,2.65E12,65.12156865,27.54030991
Indonesia,2007,257,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
Indonesia,2008,296,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
Indonesia,2009,243,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
Indonesia,2010,277,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
Indonesia,2011,311,245116206,0,0,0,0,3010.0,8.93E11,8770.433333,24.77696991
Indonesia,2012,280,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
Indonesia,2013,357,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
Indonesia,2014,335,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
Indonesia,2015,402,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
Indonesia,2016,442,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
Indonesia,2017,437,264645886,0,0,0,0,3530.0,1.02E12,13380.83388,36.27719116
Malaysia,2007,696,26720370,0,0,0,0,6630.0,1.94E11,3.437569382,30.1826992
Malaysia,2008,671,27236006,0,0,0,0,7510.0,2.31E11,3.335833333,33.69655991
Malaysia,2009,742,27735040,0,0,0,1,7600.0,2.02E11,3.524502911,35.79298019
Malaysia,2010,561,28208035,0,0,0,1,8260.0,2.55E11,3.221086915,37.31967926
Malaysia,2011,557,28650955,0,0,0,1,9050.0,2.98E11,3.060003011,35.7051506
Malaysia,2012,525,29068159,0,0,0,1,10180.0,3.14E11,3.088800867,36.32756042
Malaysia,2013,507,29468872,0,0,0,1,10840.0,3.23E11,3.15090855,36.97964859
Malaysia,2014,620,29866559,0,0,0,2,11140.0,3.38E11,3.272859746,36.8667717
Malaysia,2015,619,30270962,0,0,0,2,10610.0,2.97E11,3.905500263,42.37377167
Malaysia,2016,616,30684804,0,0,0,3,10030.0,2.97E11,4.148300663,44.11669159
Malaysia,2017,515,31105028,0,0,0,2,9810.0,3.15E11,4.300440878,41.9299202
