year,source,destination,graduates,GNI,ave_wage,cost_of_living,tuition_fee,source_top200,destination_top200,total_students
2009,China,Australia,8237200,31832.66089,50511,83.34,,1,6,76808
2010,China,Australia,7944500,34955.10692,52253,100.49,,4,7,90324
2011,China,Australia,7877500,37916.64449,53906,107.83,,3,7,93945
2012,China,Australia,7915200,40988.27861,54226,122.96,,7,7,89137
2013,China,Australia,7989800,43698.80141,53977,133.66,,7,7,85826
2014,China,Australia,7996200,47094.67591,54392,108.51,,9,8,89083
2015,China,Australia,7976500,49838.13684,53946,99.32,19820,10,8,96775
2016,China,Australia,7923500,52894.12576,53972,78.45,21048,12,8,112566
2017,China,Australia,7757300,56223.19094,53507,80.66,21926,13,10,133891
2018,China,Australia,,,53349,84.3,23130,15,9,152712
