year,source,destination,graduates,GNI,ave_wage,cost_of_living,tuition_fee,source_top200,destination_top200,total_students
2009,China,Canada,8237200,31832.66089,45309,82.27,,1,6,30582
2010,China,Canada,7944500,34955.10692,45503,85.99,,4,8,35052
2011,China,Canada,7877500,37916.64449,46203,89.34,,3,8,41394
2012,China,Canada,7915200,40988.27861,47276,98.04,,7,7,48675
2013,China,Canada,7989800,43698.80141,48192,99.65,,7,7,56472
2014,China,Canada,7996200,47094.67591,48718,87.9,15445,9,7,64665
2015,China,Canada,7976500,49838.13684,48979,81.8,16760,10,6,70287
2016,China,Canada,7923500,52894.12576,47793,64.82,17758,12,6,75297
2017,China,Canada,7757300,56223.19094,48247,70.16,19162,13,8,
2018,China,Canada,,,48849,72.48,20369,15,9,
