year,source,destination,graduates,GNI,ave_wage,cost_of_living,tuition_fee,source_top200,destination_top200,total_students
2009,China,United Kingdom,8237200,31832.66089,45455,100.21,,1,23,56990
2010,China,United Kingdom,7944500,34955.10692,45527,107.4,,4,19,67325
2011,China,United Kingdom,7877500,37916.64449,44376,93.8,,3,19,78715
2012,China,United Kingdom,7915200,40988.27861,44007,100.13,,7,19,83785
2013,China,United Kingdom,7989800,43698.80141,44141,102.24,,7,19,87900
2014,China,United Kingdom,7996200,47094.67591,43782,100.11,,9,20,89540
2015,China,United Kingdom,7976500,49838.13684,44126,92.19,17303,10,21,91215
2016,China,United Kingdom,7923500,52894.12576,44466,81.03,19682,12,21,95090
2017,China,United Kingdom,7757300,56223.19094,44590,69.49,20735,13,20,106530
2018,China,United Kingdom,,,44770,75.85,23809,15,21,
