year,source,destination,graduates,GNI,ave_wage,cost_of_living,tuition_fee,source_top200,destination_top200,total_students
2009,China,United States,8237200,31832.66089,58873,91.68,,1,90,127628
2010,China,United States,7944500,34955.10692,59477,88.46,,4,89,157558
2011,China,United States,7877500,37916.64449,59562,76.19,,3,89,194029
2012,China,United States,7915200,40988.27861,60047,83.06,,7,85,211629
2013,China,United States,7989800,43698.80141,59766,80.54,,7,85,241038
2014,China,United States,7996200,47094.67591,60618,77.39,,9,77,260926
2015,China,United States,7976500,49838.13684,62106,76.53,22852,10,78,276354
2016,China,United States,7923500,52894.12576,62153,74.08,23091,12,71,290920
2017,China,United States,7757300,56223.19094,62727,75.42,25620,13,70,297661
2018,China,United States,,,63093,72.95,26290,15,69,
