year,China_graduates,China_GNI,China_top200,AUS_ave_wage,AUS_cost_of_living,AUS_top200,CAN_ave_wage,CAN_cost_of_living,CAN_top200,UK_ave_wage,UK_cost_of_living,UK_top200,US_ave_wage,US_cost_of_living,US_top200,AUS_student_count,CAN_student_count,UK_student_count,US_student_count
2009,8237200,31832.66089,1,50511,83.34,6,45309,82.27,6,45455,100.21,23,58873,91.68,90,76808,30582,56990,127628
2010,7944500,34955.10692,4,52253,100.49,7,45503,85.99,8,45527,107.4,19,59477,88.46,89,90324,35052,67325,157558
2011,7877500,37916.64449,3,53906,107.83,7,46203,89.34,8,44376,93.8,19,59562,76.19,89,93945,41394,78715,194029
2012,7915200,40988.27861,7,54226,122.96,7,47276,98.04,7,44007,100.13,19,60047,83.06,85,89137,48675,83785,211629
2013,7989800,43698.80141,7,53977,133.66,7,48192,99.65,7,44141,102.24,19,59766,80.54,85,85826,56472,87900,241038
2014,7996200,47094.67591,9,54392,108.51,8,48718,87.9,7,43782,100.11,20,60618,77.39,77,89083,64665,89540,260926
2015,7976500,49838.13684,10,53946,99.32,8,48979,81.8,6,44126,92.19,21,62106,76.53,78,96775,70287,91215,276354
2016,7923500,52894.12576,12,53972,78.45,8,47793,64.82,6,44466,81.03,21,62153,74.08,71,112566,75297,95090,290920
2017,7757300,56223.19094,13,53507,80.66,10,48247,70.16,8,44590,69.49,20,62727,75.42,70,133891,,106530,297661
2018,,,15,53349,84.3,9,48849,72.48,9,44770,75.85,21,63093,72.95,69,152712,,,
