year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2017,India,Australia,7809,51976,53507.0,1.304758077,115.6867846,0,6,10,23,1338658835,0,0,0,1,1830.0,2.65E12,65.12156865,27.54030991
2016,India,Australia,7809,46316,53972.0,1.345213976,113.4755463,0,6,8,23,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
2015,India,Australia,7809,36892,53946.0,1.331090262,112.0447451,0,4,8,20,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
2014,India,Australia,7809,25562,54392.0,1.109363293,110.3798127,0,4,8,19,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
2013,India,Australia,7809,16150,53977.0,1.035843097,107.7003122,0,5,7,19,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
2012,India,Australia,7809,11684,54226.0,0.965801031,105.1248699,0,5,7,19,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
2011,India,Australia,7809,14091,53906.0,0.969463201,103.3038502,0,4,7,19,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
2010,India,Australia,7809,20429,52253.0,1.090159486,100.0,0,3,7,17,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
2009,India,Australia,7809,26573,50511.0,1.28218881,97.16441207,0,3,6,17,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
2008,India,Australia,7809,26520,50973.0,1.192178333,95.47346514,0,3,6,15,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
2007,India,Australia,7809,24523,50565.0,1.1950725,91.49323621,0,2,7,17,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
2006,India,Australia,7809,22357,49208.0,1.327973441,89.41207076,0,2,6,16,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
2005,India,Australia,7809,20515,48891.0,1.309473333,86.34235172,0,2,6,14,1147609927,0,0,0,3,710.0,8.2E11,44.099975,10.73248005
2004,India,Australia,7809,15742,48267.0,1.3597525,84.07908429,0,2,6,14,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
2003,India,Australia,7809,12384,46811.0,1.541914167,82.15400624,0,1,5,13,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
2002,India,Australia,7809,9539,46270.0,1.8405625,79.96878252,0,1,5,12,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
2000,India,Australia,7809,4578,45459.0,1.724826667,74.37565036,0,0,5,11,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
1999,India,Australia,7809,3697,45564.0,1.54995,71.20187305,0,0,4,11,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
1998,India,Australia,7809,3613,45034.0,1.591828333,70.16129032,0,0,4,10,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
2001,India,Australia,7809,14117,45953.0,1.9334425,77.65348595,0,1,5,12,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
2016,India,Canada,11462,19905,47793.0,1.325615164,110.2246709,0,4,6,19,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
2015,India,Canada,11462,16323,48979.0,1.278786204,108.6720092,0,4,6,20,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
2014,India,Canada,11462,15705,48718.0,1.104747132,107.4627934,0,4,7,21,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
2013,India,Canada,11462,13626,48192.0,1.030137364,105.4522038,0,4,7,23,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
2012,India,Canada,11462,9582,47276.0,0.999364744,104.4719519,0,4,7,22,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
2011,India,Canada,11462,8142,46203.0,0.989258159,102.9121351,0,4,8,22,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
2010,India,Canada,11462,5868,45503.0,1.030112735,100.0,0,4,8,23,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
2009,India,Canada,11462,4617,45309.0,1.141535406,98.25414997,0,4,6,22,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
2008,India,Canada,11462,3501,44810.0,1.067086918,97.96078993,0,4,6,21,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
2007,India,Canada,11462,3219,43969.0,1.074045622,95.69261591,0,4,7,22,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
2005,India,Canada,11462,2829,41566.0,1.211405134,91.85031483,0,4,8,23,1147609927,0,0,0,3,710.0,8.2E11,44.099975,10.73248005
2004,India,Canada,11462,2724,39848.0,1.301281595,89.86119061,0,4,9,23,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
2003,India,Canada,11462,2472,38802.0,1.401014548,88.22266743,0,4,8,24,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
2002,India,Canada,11462,1830,38800.0,1.570342834,85.85432169,0,4,8,24,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
2006,India,Canada,11462,1812,42908.0,1.134344726,93.68918145,0,4,8,22,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
2001,India,Canada,11462,1314,39218.0,1.548839955,83.95821408,0,4,8,24,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
2000,India,Canada,11462,969,39380.0,1.485394095,81.89038351,0,4,8,25,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
1999,India,Canada,11462,804,37939.0,1.485704819,79.72238122,0,4,8,25,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
1998,India,Canada,11462,696,37289.0,1.483505302,78.36290784,0,4,8,25,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
2011,India,United Kingdom,7658,38677,44376.0,0.624140836,103.8561124,3,10,19,37,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
2010,India,United Kingdom,7658,38205,45527.0,0.647179346,100.0,2,11,19,38,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
2009,India,United Kingdom,7658,34065,45455.0,0.641919263,97.56796745,2,11,23,40,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
2012,India,United Kingdom,7658,29713,44007.0,0.633046989,106.5285741,2,9,19,38,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
2008,India,United Kingdom,7658,25901,44679.0,0.54396625,95.69077122,2,11,22,42,1200669765,0,0,0,2,1000.0,1.2E12,43.50518333,15.11898994
2007,India,United Kingdom,7658,23833,45882.0,0.499771667,92.43573146,2,11,23,42,1183209472,0,0,0,2,910.0,1.22E12,41.34853333,13.19023991
2013,India,United Kingdom,7658,22155,44141.0,0.639660578,108.9698539,2,9,19,37,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
2014,India,United Kingdom,7658,19604,43782.0,0.607729627,110.5511374,3,8,20,38,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
2006,India,United Kingdom,7658,19204,44590.0,0.543486667,90.28111707,2,11,22,43,1165486291,0,0,0,2,790.0,9.4E11,45.30700833,11.54214001
2015,India,United Kingdom,7658,18177,44126.0,0.654545479,110.9580174,3,9,21,37,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
2005,India,United Kingdom,7658,16685,43597.0,0.549998333,88.11725541,2,11,19,40,1147609927,0,0,0,3,710.0,8.2E11,44.099975,10.73248005
2016,India,United Kingdom,7658,16655,44466.0,0.740634464,112.0769373,3,8,21,37,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
2004,India,United Kingdom,7658,14625,43663.0,0.54618,86.31403736,2,11,18,42,1129623456,0,0,0,3,610.0,7.09E11,45.31646667,10.98760033
2003,India,United Kingdom,7658,10422,42652.0,0.6124725,85.13038654,1,14,20,42,1111523144,0,0,0,4,520.0,6.08E11,46.58328417,10.67794037
2002,India,United Kingdom,7658,6016,41517.0,0.667223333,83.97447753,1,13,20,42,1093317189,0,0,0,4,460.0,5.15E11,48.61031917,10.22601032
2001,India,United Kingdom,7658,4302,40840.0,0.694655,82.71684853,1,13,20,43,1075000085,0,0,0,4,450.0,4.85E11,47.18641417,9.740539551
2000,India,United Kingdom,7658,3962,38908.0,0.660930833,81.4684668,1,13,20,43,1056575549,0,0,0,3,440.0,4.68E11,44.941605,9.55202961
1999,India,United Kingdom,7658,3922,41818.0,0.618056845,80.51599778,1,13,20,44,1038058156,0,0,0,3,440.0,4.59E11,43.05542833,7.329977
1998,India,United Kingdom,7658,3112,41623.0,0.603823594,79.12890697,2,12,20,44,1019483581,0,0,0,3,410.0,4.21E11,41.259365,6.229456
2017,India,New Zealand,11963,12552,41954.0,1.407408333,110.6515787,0,0,0,4,1338658835,0,0,0,1,1830.0,2.65E12,65.12156865,27.54030991
2016,India,New Zealand,11963,15016,41765.0,1.436525,108.640867,0,0,1,4,1324509589,0,0,0,1,1690.0,2.29E12,67.19531281,26.92859077
2015,India,New Zealand,11963,15087,40256.0,1.433975,107.9432939,0,0,0,2,1310152403,0,0,0,1,1600.0,2.1E12,64.15194446,26.87558937
2014,India,New Zealand,11963,10255,39419.0,1.205433333,107.628261,0,0,0,4,1295604184,0,0,0,1,1560.0,2.04E12,61.02951446,25.5373497
2013,India,New Zealand,11963,6844,39111.0,1.219407974,106.3231365,0,0,0,5,1280846129,0,0,0,1,1520.0,1.86E12,58.59784542,23.89487076
2012,India,New Zealand,11963,7248,39622.0,1.234283655,105.1305122,0,0,1,5,1265782790,0,0,0,1,1480.0,1.83E12,53.43723333,24.37171936
2011,India,New Zealand,11963,7517,38804.0,1.265810697,104.0279067,0,0,0,5,1250288729,0,0,0,1,1360.0,1.82E12,46.67046667,22.86528015
2010,India,New Zealand,11963,6650,38803.0,1.387833828,100.0,0,0,0,5,1234281170,0,0,0,2,1220.0,1.68E12,45.72581212,17.91488075
2009,India,New Zealand,11963,5710,38433.0,1.600877295,97.74977682,0,0,0,5,1217726215,0,0,0,2,1120.0,1.34E12,48.40526667,16.10565948
