year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2017,Indonesia,Australia,3455,11040,53507.0,1.304758077,115.6867846,0,6,10,23,264645886,0,0,0,0,3530.0,1.02E12,13380.83388,36.27719116
2016,Indonesia,Australia,3455,10676,53972.0,1.345213976,113.4755463,0,6,8,23,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
2015,Indonesia,Australia,3455,10168,53946.0,1.331090262,112.0447451,0,4,8,20,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
2014,Indonesia,Australia,3455,9499,54392.0,1.109363293,110.3798127,0,4,8,19,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
2013,Indonesia,Australia,3455,9453,53977.0,1.035843097,107.7003122,0,5,7,19,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
2012,Indonesia,Australia,3455,9431,54226.0,0.965801031,105.1248699,0,5,7,19,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
2011,Indonesia,Australia,3455,9702,53906.0,0.969463201,103.3038502,0,4,7,19,245116206,0,0,0,0,3010.0,8.93E11,8770.433333,24.77696991
2010,Indonesia,Australia,3455,10135,52253.0,1.090159486,100.0,0,3,7,17,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
2009,Indonesia,Australia,3455,10205,50511.0,1.28218881,97.16441207,0,3,6,17,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
2008,Indonesia,Australia,3455,10242,50973.0,1.192178333,95.47346514,0,3,6,15,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
2007,Indonesia,Australia,3455,10536,50565.0,1.1950725,91.49323621,0,2,7,17,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
2006,Indonesia,Australia,3455,9054,49208.0,1.327973441,89.41207076,0,2,6,16,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
2005,Indonesia,Australia,3455,9293,48891.0,1.309473333,86.34235172,0,2,6,14,226289470,0,0,0,0,1220.0,2.86E11,9704.741667,17.25584984
2004,Indonesia,Australia,3455,10184,48267.0,1.3597525,84.07908429,0,2,6,14,223285676,0,0,0,0,1080.0,2.57E11,8938.85,16.6164608
2003,Indonesia,Australia,3455,13260,46811.0,1.541914167,82.15400624,0,1,5,13,220309469,0,0,0,0,900.0,2.35E11,8577.133333,16.02532959
2002,Indonesia,Australia,3455,13658,46270.0,1.8405625,79.96878252,0,1,5,12,217357793,0,0,0,0,790.0,1.96E11,9311.191667,14.80883026
2000,Indonesia,Australia,3455,9934,45459.0,1.724826667,74.37565036,0,0,5,11,211513823,0,0,0,0,580.0,1.65E11,8421.775,14.87963009
1999,Indonesia,Australia,3455,8976,45564.0,1.54995,71.20187305,0,0,4,11,208615169,0,0,0,0,570.0,1.4E11,7855.15,14.74952984
1998,Indonesia,Australia,3455,7721,45034.0,1.591828333,70.16129032,0,0,4,10,205724592,0,0,0,0,660.0,9.5445547873E10,10013.6225,13.3598299
2001,Indonesia,Australia,3455,11790,45953.0,1.9334425,77.65348595,0,1,5,12,214427417,0,0,0,0,720.0,1.6E11,10260.85,14.18719959
2016,Indonesia,Canada,12878,852,47793.0,1.325615164,110.2246709,0,4,6,19,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
2015,Indonesia,Canada,12878,804,48979.0,1.278786204,108.6720092,0,4,6,20,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
2009,Indonesia,Canada,12878,777,45309.0,1.141535406,98.25414997,0,4,6,22,238620563,0,0,0,0,2150.0,5.4E11,10389.9375,22.37511063
2007,Indonesia,Canada,12878,768,43969.0,1.074045622,95.69261591,0,4,7,22,232374245,0,0,0,0,1600.0,4.32E11,9141.0,17.76985931
2014,Indonesia,Canada,12878,753,48718.0,1.104747132,107.4627934,0,4,7,21,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
2008,Indonesia,Canada,12878,733,44810.0,1.067086918,97.96078993,0,4,6,21,235469762,0,0,0,0,1940.0,5.1E11,9698.9625,20.42921066
2005,Indonesia,Canada,12878,714,41566.0,1.211405134,91.85031483,0,4,8,23,226289470,0,0,0,0,1220.0,2.86E11,9704.741667,17.25584984
2013,Indonesia,Canada,12878,684,48192.0,1.030137364,105.4522038,0,4,7,23,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
2010,Indonesia,Canada,12878,678,45503.0,1.030112735,100.0,0,4,8,23,241834215,0,0,0,0,2530.0,7.55E11,9090.433333,23.03973961
2004,Indonesia,Canada,12878,657,39848.0,1.301281595,89.86119061,0,4,9,23,223285676,0,0,0,0,1080.0,2.57E11,8938.85,16.6164608
2011,Indonesia,Canada,12878,612,46203.0,0.989258159,102.9121351,0,4,8,22,245116206,0,0,0,0,3010.0,8.93E11,8770.433333,24.77696991
2012,Indonesia,Canada,12878,591,47276.0,0.999364744,104.4719519,0,4,7,22,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
2003,Indonesia,Canada,12878,567,38802.0,1.401014548,88.22266743,0,4,8,24,220309469,0,0,0,0,900.0,2.35E11,8577.133333,16.02532959
2002,Indonesia,Canada,12878,489,38800.0,1.570342834,85.85432169,0,4,8,24,217357793,0,0,0,0,790.0,1.96E11,9311.191667,14.80883026
2001,Indonesia,Canada,12878,444,39218.0,1.548839955,83.95821408,0,4,8,24,214427417,0,0,0,0,720.0,1.6E11,10260.85,14.18719959
1998,Indonesia,Canada,12878,384,37289.0,1.483505302,78.36290784,0,4,8,25,205724592,0,0,0,0,660.0,9.5445547873E10,10013.6225,13.3598299
1999,Indonesia,Canada,12878,375,37939.0,1.485704819,79.72238122,0,4,8,25,208615169,0,0,0,0,570.0,1.4E11,7855.15,14.74952984
2000,Indonesia,Canada,12878,375,39380.0,1.485394095,81.89038351,0,4,8,25,211513823,0,0,0,0,580.0,1.65E11,8421.775,14.87963009
2006,Indonesia,Canada,12878,336,42908.0,1.134344726,93.68918145,0,4,8,22,229318262,0,0,0,0,1380.0,3.65E11,9159.316667,17.31292915
2016,Indonesia,United Kingdom,11758,3164,44466.0,0.740634464,112.0769373,3,8,21,37,261554226,0,0,0,0,3400.0,9.32E11,13308.3268,30.25484
2015,Indonesia,United Kingdom,11758,2761,44126.0,0.654545479,110.9580174,3,9,21,37,258383256,0,0,0,0,3430.0,8.61E11,13389.41294,29.27643
2014,Indonesia,United Kingdom,11758,2164,43782.0,0.607729627,110.5511374,3,8,20,38,255129004,0,0,0,0,3620.0,8.91E11,11865.2113,29.56034088
2013,Indonesia,United Kingdom,11758,1650,44141.0,0.639660578,108.9698539,2,9,19,37,251806402,0,0,0,0,3730.0,9.13E11,10461.24,29.46726036
2012,Indonesia,United Kingdom,11758,1442,44007.0,0.633046989,106.5285741,2,9,19,38,248452413,0,0,0,0,3580.0,9.18E11,9386.629167,28.69833946
